178.211.139.123 - - [17/May/2025:01:39:03 +0000] "GET / HTTP/1.1" 404 187 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
103.224.53.7 - - [17/May/2025:02:38:00 +0000] "GET / HTTP/1.1" 200 24585 "https://chatgpt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
103.224.53.7 - - [17/May/2025:02:38:31 +0000] "GET / HTTP/1.1" 200 24586 "https://chatgpt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
64.15.129.122 - - [17/May/2025:02:41:06 +0000] "GET / HTTP/1.1" 200 80743 "http://ww2.ktp.digital/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
64.15.129.115 - - [17/May/2025:02:41:09 +0000] "GET / HTTP/1.1" 200 80743 "http://ww2.ktp.digital/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
64.15.129.126 - - [17/May/2025:02:41:11 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://ww2.ktp.digital/favicon.ico" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
192.175.111.241 - - [17/May/2025:02:41:22 +0000] "GET / HTTP/1.1" 200 80749 "http://ww2.ktp.digital/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
64.15.129.112 - - [17/May/2025:02:41:24 +0000] "GET / HTTP/1.1" 200 80655 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
192.175.111.237 - - [17/May/2025:02:41:25 +0000] "GET / HTTP/1.1" 200 80753 "http://ww2.ktp.digital/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
103.224.53.7 - - [17/May/2025:02:42:55 +0000] "GET / HTTP/1.1" 200 171 "https://chatgpt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
103.224.53.7 - - [17/May/2025:02:57:48 +0000] "GET / HTTP/1.1" 200 171 "https://chatgpt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
23.27.145.139 - - [17/May/2025:03:05:50 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/120.0"
135.148.100.196 - - [17/May/2025:03:12:02 +0000] "GET / HTTP/1.1" 200 211 "-" "-"
51.81.46.212 - - [17/May/2025:03:12:23 +0000] "GET / HTTP/1.1" 200 211 "-" "-"
34.248.137.227 - - [17/May/2025:03:24:48 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0"
34.248.137.227 - - [17/May/2025:03:24:50 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"
34.248.137.227 - - [17/May/2025:03:24:50 +0000] "GET /favicon.ico HTTP/1.1" 404 187 "https://ww2.ktp.digital/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"
34.248.137.227 - - [17/May/2025:03:24:51 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36"
34.248.137.227 - - [17/May/2025:03:24:52 +0000] "HEAD /favicon.ico HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36"
1.145.161.80 - - [17/May/2025:03:34:47 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "NetworkingExtension/8621.1.15.10.7 Network/4277.102.4 iOS/18.4.1"
1.145.161.80 - - [17/May/2025:03:34:48 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.4 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.4 facebookexternalhit/1.1 Facebot Twitterbot/1.0"
1.145.161.80 - - [17/May/2025:03:34:49 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "NetworkingExtension/8621.1.15.10.7 Network/4277.102.4 iOS/18.4.1"
1.145.161.80 - - [17/May/2025:03:34:49 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "NetworkingExtension/8621.1.15.10.7 Network/4277.102.4 iOS/18.4.1"
203.12.10.132 - - [17/May/2025:04:58:42 +0000] "GET / HTTP/1.1" 200 171 "https://chatgpt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:04:58:42 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "Safari/20621.1.15.11.10 CFNetwork/3826.500.111.1.1 Darwin/24.4.0"
203.12.10.132 - - [17/May/2025:04:58:42 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "Safari/20621.1.15.11.10 CFNetwork/3826.500.111.1.1 Darwin/24.4.0"
203.12.10.132 - - [17/May/2025:05:02:29 +0000] "GET / HTTP/1.1" 200 171 "https://chatgpt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:04:29 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:04:33 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:04:34 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:04:34 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:08:28 +0000] "GET /phpinfo.php HTTP/1.1" 200 24594 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:08:38 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:05:08:38 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:05:08:38 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
20.65.194.129 - - [17/May/2025:05:09:29 +0000] "GET /version HTTP/1.1" 404 125 "-" "Mozilla/5.0 zgrab/0.x"
203.12.10.132 - - [17/May/2025:05:09:51 +0000] "GET /phpinfo.php HTTP/1.1" 200 24562 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:09:54 +0000] "GET /placeholder HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:11:24 +0000] "GET / HTTP/1.1" 200 691 "-" "curl/7.84.0"
203.12.10.132 - - [17/May/2025:05:13:15 +0000] "GET / HTTP/1.1" 200 711 "-" "curl/7.84.0"
203.12.10.132 - - [17/May/2025:05:13:23 +0000] "GET / HTTP/1.1" 200 711 "-" "curl/7.84.0"
203.12.10.132 - - [17/May/2025:05:13:49 +0000] "GET / HTTP/1.1" 200 443 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:05:13:56 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:05:13:56 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:05:13:56 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
145.79.2.200 - - [17/May/2025:05:17:46 +0000] "GET / HTTP/1.1" 200 443 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 GLS/100.10.9939.100"
75.142.243.124 - - [17/May/2025:06:08:50 +0000] "GET / HTTP/1.1" 200 443 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
75.142.243.124 - - [17/May/2025:06:08:50 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "https://ww2.ktp.digital/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:34:19 +0000] "GET /phpinfo.php HTTP/1.1" 200 24597 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:34:24 +0000] "GET /phpinfo.php HTTP/1.1" 200 24564 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:34:25 +0000] "GET / HTTP/1.1" 200 171 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:35:50 +0000] "GET / HTTP/1.1" 200 582 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:38:41 +0000] "GET / HTTP/1.1" 200 700 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:40:46 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:40:46 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:40:46 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:42:42 +0000] "GET / HTTP/1.1" 200 696 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:42:44 +0000] "GET / HTTP/1.1" 200 700 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:42:45 +0000] "GET / HTTP/1.1" 200 700 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:42:46 +0000] "GET / HTTP/1.1" 200 700 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
75.142.243.124 - - [17/May/2025:06:43:15 +0000] "GET / HTTP/1.1" 200 698 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
75.142.243.124 - - [17/May/2025:06:43:23 +0000] "GET / HTTP/1.1" 200 700 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:47:27 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:47:27 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:47:27 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:53:52 +0000] "GET / HTTP/1.1" 200 1304 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:06:54:05 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:05 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:05 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:16 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:16 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:16 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:28 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:28 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:28 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:48 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:48 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
203.12.10.132 - - [17/May/2025:06:54:48 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
64.62.156.80 - - [17/May/2025:07:02:16 +0000] "GET / HTTP/1.1" 200 1304 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"
64.62.156.86 - - [17/May/2025:07:06:11 +0000] "GET /webui/ HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0"
203.12.10.132 - - [17/May/2025:07:07:14 +0000] "GET / HTTP/1.1" 200 1305 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
203.12.10.132 - - [17/May/2025:07:07:20 +0000] "GET / HTTP/1.1" 200 1304 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
